FID,daolu,duanlie,jianghe,jiangshui,ndvi,podu,poxiang,tudi,yantu,landslide
143,5,1,5,3,5,4,3,4,3,0
144,5,1,5,3,4,1,3,4,7,0
145,5,1,5,3,5,3,7,4,7,0
146,5,1,5,3,3,2,3,4,2,0
147,5,1,5,3,5,2,2,4,2,0
148,5,1,5,3,5,2,6,4,2,0
149,5,1,5,3,5,2,6,4,2,0
150,5,1,5,3,2,2,3,3,3,0
151,5,4,5,3,5,3,9,4,2,0
152,5,3,5,3,5,5,9,4,9,0
153,5,2,5,3,3,2,2,4,9,0
154,5,2,5,3,4,2,9,4,5,0
155,5,2,5,3,5,6,9,4,2,0
156,5,2,5,3,5,2,8,7,5,0
157,5,1,5,3,2,2,2,3,9,0
158,5,1,5,3,5,2,5,4,2,0
159,1,1,5,2,2,1,1,3,1,0
160,1,1,5,4,2,1,1,3,1,0
161,5,3,5,3,4,2,9,4,3,0
162,5,3,5,3,5,2,9,4,3,0
163,5,3,5,3,5,2,3,4,3,0
164,5,3,5,3,2,2,9,3,3,0
165,5,2,5,3,3,3,3,4,2,0
166,5,2,5,3,4,3,8,4,2,0
167,5,1,5,3,5,3,9,4,2,0
168,5,2,5,3,4,2,5,4,9,0
169,5,2,5,3,4,1,8,4,3,0
170,5,2,5,3,3,3,2,4,2,0
171,5,2,5,3,5,1,4,4,3,0
172,5,2,5,3,5,3,4,4,2,0
173,5,2,5,3,5,4,3,4,2,0
174,5,2,5,3,4,2,2,4,2,0
175,5,1,5,3,4,2,2,4,3,0
176,5,1,5,3,4,2,4,4,2,0
177,5,1,5,3,4,3,3,4,2,0
178,5,1,5,3,5,3,3,4,3,0
179,5,1,5,3,4,3,3,4,3,0
180,5,1,5,3,2,2,9,3,3,0
181,5,1,5,3,2,1,2,3,3,0
182,5,1,5,3,2,2,3,3,9,0
183,5,1,5,3,5,4,2,4,2,0
184,2,2,5,4,1,5,2,4,9,1
185,2,2,2,4,4,6,7,5,2,1
186,2,2,2,4,1,7,7,5,2,1
187,2,1,5,4,4,4,6,4,6,1
188,3,1,5,4,3,4,6,1,7,1
189,2,1,5,4,2,4,5,1,6,1
190,1,2,1,4,1,6,7,5,2,1
191,1,2,2,4,1,3,7,5,2,1
192,1,2,1,4,1,2,7,5,2,1
193,4,1,5,4,2,4,9,2,6,1
194,3,1,5,4,1,2,7,5,9,1
195,2,4,1,4,2,8,9,5,2,1
196,5,5,5,4,1,8,6,5,2,1
197,3,3,5,4,1,2,7,5,9,1
198,5,5,5,4,1,8,5,2,6,1
199,5,1,5,4,1,8,5,5,6,1
200,5,1,4,4,2,7,5,4,6,1
201,5,1,3,4,2,7,5,5,6,1
202,2,3,5,4,1,4,7,5,2,1
203,2,3,5,4,1,3,3,5,5,1
204,3,2,5,4,1,3,7,5,2,1
205,2,1,2,4,2,7,7,5,6,1
206,2,1,2,4,3,7,7,5,6,1
207,4,2,5,4,3,4,3,2,9,1
208,3,1,5,4,2,2,4,7,3,1
209,2,1,5,4,2,2,4,7,3,1
210,3,3,2,4,4,4,4,4,2,1
211,5,3,5,4,1,6,4,4,9,1
212,5,3,5,4,2,5,4,4,9,1
213,5,3,5,4,2,3,5,7,5,1
214,5,1,5,4,2,5,4,4,2,1
215,2,5,2,4,2,4,5,5,2,1
216,2,3,2,4,2,6,6,5,2,1
217,2,3,2,4,2,5,6,5,2,1
218,2,1,1,2,1,1,4,4,7,1
219,2,1,1,2,1,3,8,4,7,1
220,2,3,4,4,2,5,8,5,6,1
221,5,5,5,4,5,4,6,4,7,1
222,5,1,5,4,3,3,3,5,7,1
223,5,1,5,4,3,4,5,5,7,1
224,5,5,3,4,1,8,5,2,2,1
225,5,1,5,2,2,5,4,4,7,1
226,2,5,1,2,1,5,6,5,7,1
227,2,5,1,2,1,4,5,5,7,1
228,2,5,1,2,1,7,6,5,7,1
229,2,3,1,2,1,3,6,5,7,1
230,2,1,1,2,1,1,1,4,7,1
231,2,1,3,2,1,7,7,5,2,1
232,2,1,3,2,1,5,7,5,2,1
233,3,1,4,3,1,6,6,5,2,1
234,2,1,1,2,4,7,5,4,6,1
235,2,1,3,3,1,7,6,5,2,1
236,2,1,1,2,2,7,5,5,7,1
237,3,1,3,3,2,8,5,5,2,1
238,2,1,1,2,1,5,9,2,3,1
239,2,1,1,2,1,5,9,2,3,1
